Wine Label;Winery;Variety;Area;Vineyard;Vintage;wine code;replicate;;;;;;;;;;;;
no name;Irakleio/  house wine;Syrah;Irakleio;Hrakleio;2022;67;a;;;;;;;;;;;;
no name;Irakleio/  house wine;syrah;Irakleio;Hrakleio;2022;67;b;;;;;;;;;;;;
no name;Irakleio/  house wine;Syrah;Irakleio;Hrakleio;2022;67;c;;;;;;;;;;;;
Ramnista;Kir Yiannis;Xinomavro;Amydeo;Amydeo;2020;68;a;;;;;;;;;;;;
Ramnista;Kir Yiannis;Xinomavro;Amydeo;Amydeo;2020;68;b;;;;;;;;;;;;
Ramnista;Kir Yiannis;Xinomavro;Amydeo;Amydeo;2020;68;c;;;;;;;;;;;;
Ramnista;Kir Yiannis;Xinomavro;Amydeo;Amydeo;2021;69;a;;;;;;;;;;;;
Ramnista;Kir Yiannis;Xinomavro;Amydeo;Amydeo;2021;69;b;;;;;;;;;;;;
Ramnista;Kir Yiannis;Xinomavro;Amydeo;Amydeo;2021;69;c;;;;;;;;;;;;
NTROUMO;Kir Yiannis;Sauvignon blanc;Amydeo;Amydeo;2023;70;a;;;;;;;;;;;;
NTROUMO;Kir Yiannis;Sauvignon blanc;Amydeo;Amydeo;2023;70;b;;;;;;;;;;;;
NTROUMO;Kir Yiannis;Sauvignon blanc;Amydeo;Amydeo;2023;70;c;;;;;;;;;;;;
KALH RIZA;Kir Yiannis;Xinomavro;Amydeo;Amydeo;2020;71;a;;;;;;;;;;;;
KALH RIZA;Kir Yiannis;Xinomavro;Amydeo;Amydeo;2020;71;b;;;;;;;;;;;;
KALH RIZA;Kir Yiannis;Xinomavro;Amydeo;Amydeo;2020;71;c;;;;;;;;;;;;
AKAKIES;Kir Yiannis;Xinomavro/ rose;Amydeo;Amydeo;2023;72;a;;;;;;;;;;;;
AKAKIES;Kir Yiannis;Xinomavro/ rose;Amydeo;Amydeo;2023;72;b;;;;;;;;;;;;
AKAKIES;Kir Yiannis;Xinomavro/ rose;Amydeo;Amydeo;2023;72;c;;;;;;;;;;;;
